cdm_id,ingredient
21112654,allopurinol
42965904,allopurinol
1167322,allopurinol
2011748,aminosalicylic acid
42964056,aminosalicylic acid
2050968,aminosalicylic acid
1726228,aminosalicylic acid
19133832,amiodarone
41349044,amiodarone
1309944,amiodarone
2028920,amiodarone
2065876,amiodarone
43268981,asparaginase
2046102,asparaginase
2046103,asparaginase
19012585,asparaginase
1545998,atorvastatin
1545999,atorvastatin
1545958,atorvastatin
42972935,atorvastatin
19123593,atorvastatin
42972721,atorvastatin
42972751,atorvastatin
43260317,atorvastatin
42973067,atorvastatin
42972920,atorvastatin
19128163,atorvastatin
42972638,atorvastatin
43271238,atorvastatin
43527029,atorvastatin
19128165,atorvastatin
43527032,atorvastatin
42972641,atorvastatin
19128151,atorvastatin
42972632,atorvastatin
42972747,atorvastatin
19068781,atorvastatin
42972555,atorvastatin
42972960,atorvastatin
42966091,azathioprine
42966092,azathioprine
19014878,azathioprine
42966100,azathioprine
2045980,azathioprine
42966099,azathioprine
1734132,azithromycin
1734104,azithromycin
42949579,azithromycin
2050632,azithromycin
2050638,azithromycin
35603391,azithromycin
2050609,azithromycin
21029222,azithromycin
41305003,black cohosh extract
1391648,black cohosh extract
43675375,black cohosh extract
42920661,busulfan
1333357,busulfan
2027400,busulfan
2027399,busulfan
42946833,carbamazepine
42946835,carbamazepine
40166956,carbamazepine
42946842,carbamazepine
740275,carbamazepine
19074680,carbamazepine
42946836,carbamazepine
42946843,carbamazepine
42919362,carbamazepine
2031875,carbamazepine
42947903,chlorpromazine
794852,chlorpromazine
1759842,clavulanate
42951724,clavulanate
42951756,clavulanate
42951408,clavulanate
42951753,clavulanate
42951405,clavulanate
2052449,clavulanate
19133019,clavulanate
42919826,clavulanate
42919823,clavulanate
2011814,clavulanate
42919817,clavulanate
2052243,clavulanate
42919832,clavulanate
42919917,clavulanate
42919828,clavulanate
42951320,clavulanate
2052192,clavulanate
42948460,clavulanate
2011810,clavulanate
2052123,clavulanate
2051672,clavulanate
2011778,clavulanate
42919802,clavulanate
42964048,danazol
1511449,danazol
42942268,dantrolene
711714,dantrolene
42948129,dapsone
1711759,dapsone
42921946,diclofenac
2029752,diclofenac
1124300,diclofenac
2029749,diclofenac
2050977,didanosine
2050976,didanosine
1724869,didanosine
1512674,drospirenone
19124099,drospirenone
43256701,drospirenone
19071361,drospirenone
21080074,dydrogesterone
19040060,dydrogesterone
2075051,dydrogesterone
2044163,dydrogesterone
43277370,efavirenz
1738135,efavirenz
2031636,erythromycin
1746940,erythromycin
2023793,erythromycin
2031633,erythromycin
19026230,estradiol
1548195,estradiol
19027323,estradiol
2075044,estradiol
43256701,estradiol
42943300,estradiol
43294679,estradiol
2075054,estradiol
2075013,estradiol
2075051,estradiol
43153692,estradiol
42943298,estradiol
2024013,estradiol
2075029,estradiol
2075027,estradiol
42971273,estriol
19049038,estriol
2043821,estriol
2011166,estriol
2024015,estropipate
1525278,estropipate
42931182,estropipate
1549786,ethinyl estradiol
19060529,ethinyl estradiol
19124099,ethinyl estradiol
19071361,ethinyl estradiol
,flucloxacillin (floxacillin)
42920309,fluorouracil
2009512,fluorouracil
42920649,fluorouracil
42921149,fluorouracil
2009564,fluorouracil
955632,fluorouracil
2009646,fluorouracil
43707750,fluorouracil
41220763,fluorouracil
42921865,fosphenytoin
42920607,fosphenytoin
713192,fosphenytoin
2029604,fosphenytoin
2027392,fosphenytoin
2032036,hydralazine
42929489,hydralazine
42922292,hydralazine
1373928,hydralazine
36249938,17-alpha-hydroxyprogesterone
19077143,17-alpha-hydroxyprogesterone
2009873,17-alpha-hydroxyprogesterone
19078461,ibuprofen
1177480,ibuprofen
42948431,ibuprofen
42923455,ibuprofen
42918274,ibuprofen
42923550,ibuprofen
42923464,ibuprofen
42918279,ibuprofen
2032376,ibuprofen
42923551,ibuprofen
42923559,ibuprofen
19024626,ibuprofen
42918282,ibuprofen
2032386,ibuprofen
43291470,ibuprofen
41339644,ibuprofen
2029716,ibuprofen
937368,infliximab
937369,infliximab
2037160,infliximab
21092406,infliximab
2010486,infliximab
2037159,infliximab
2010220,interferon alfa-2a
42922845,interferon alfa-2a
1379969,interferon alfa-2a
2009783,interferon alfa-2b
42922253,interferon alfa-2b
2009784,interferon alfa-2b
42922255,interferon alfa-2b
1380068,interferon alfa-2b
2010025,interferon beta-1b
713196,interferon beta-1b
42957485,interferon beta-1b
722424,interferon beta-1a
2010221,interferon beta-1a
37593707,interferon beta-1a
46275962,ipilimumab
40238188,ipilimumab
42948574,isoniazid
1782521,isoniazid
42948571,isoniazid
42917588,ketoconazole
985708,ketoconazole
2024368,ketoconazole
2033225,ketoconazole
2074959,ketoconazole
45775164,ledipasvir
45775020,ledipasvir
42919102,levofloxacin
1742253,levofloxacin
42921484,levofloxacin
42965222,levofloxacin
2025427,levofloxacin
42965254,levofloxacin
42921466,levofloxacin
2031677,levofloxacin
42965510,levofloxacin
42919478,levofloxacin
42965220,levofloxacin
42965511,levofloxacin
2025834,levofloxacin
42965215,levofloxacin
2031686,levofloxacin
