Ingredient,RxCUI,cdm_id,Drug name,Terminology
Allopurinol,519,21112654,"	Allopurinol 100 MG Oral Tablet [Zyloric]",RxNorm Extension
Allopurinol,519,42965904,Allopurinol 100 MG Oral Tablet [YUYU ALLOPURINOL],RxNorm Extension
Allopurinol,519,1167322,"	allopurinol",RxNorm
Aminosalicylic acid,7833,2011748,aminosalicylic acid 800 MG Oral Granules [DID-PAS] by Dongindang,RxNorm Extension
Aminosalicylic acid,7833,42964056,aminosalicylic acid 2640 MG Oral Granules [DID-PAS],RxNorm Extension
Aminosalicylic acid,7833,2050968,"	aminosalicylic acid 800 MG Oral Granules [SKY PASCALCIUM] by CMG",RxNorm Extension
Aminosalicylic acid,7833,1726228,aminosalicylic acid,"	RxNorm"
Amiodarone,703,19133832,amiodarone hydrochloride 200 MG Oral Tablet [Cordarone],RxNorm
Amiodarone,703,41349044,"	3 ML Amiodarone 50 MG/ML Injectable Solution [Cordarone]","	RxNorm Extension"
Amiodarone,703,"1309944	","	amiodarone",RxNorm
Amiodarone,703,2028920,3 ML amiodarone 50 MG/ML Injectable Solution [Cordarone] by Sanofi,RxNorm Extension
Amiodarone,703,2065876,amiodarone 200 MG Oral Tablet [AMIRON] by Kwangdong,RxNorm Extension
Amodiaquine,720,,,
Androstenedione,784,,,
Asparaginase,1156,"	43268981","	ASPARAGINASE 10000 UNT Injection [Leunase]",RxNorm Extension
Asparaginase,1156,"	2046102",asparaginase 10000 UNT Injection [Leunase] by Kyowa Kirin,RxNorm Extension
Asparaginase,1156,"	2046103",asparaginase 10000 UNT Injection [Leunase] by JW,RxNorm Extension
Asparaginase,1156,"	19012585","	asparaginase",RxNorm
Atorvastatin,83367,"	1545998",atorvastatin 10 MG Oral Tablet [Lipitor],"	RxNorm"
Atorvastatin,83367,"	1545999",atorvastatin 20 MG Oral Tablet [Lipitor],RxNorm
Atorvastatin,83367,"	1545958","	atorvastatin","	RxNorm"
Atorvastatin,83367,"	42972935",atorvastatin 20 MG Oral Tablet [LIPILOW],"	RxNorm Extension"
Atorvastatin,83367,"19123593	","	atorvastatin 40 MG Oral Tablet [Lipitor]","	RxNorm"
Atorvastatin,83367,"	42972721	",atorvastatin 10 MG Oral Tablet [LIPILOW],RxNorm Extension
Atorvastatin,83367,"	42972751",atorvastatin 10 MG Oral Tablet [LIPINON],RxNorm Extension
Atorvastatin,83367,43260317,atorvastatin 10 MG / ezetimibe 10 MG Oral Tablet [Atozet],RxNorm Extension
Atorvastatin,83367,42973067,"	atorvastatin 40 MG Oral Tablet [LIPILOW]",RxNorm Extension
Atorvastatin,83367,"	42972920","	atorvastatin 20 MG Oral Tablet [LIPIKHAN]",RxNorm Extension
Atorvastatin,83367,"	19128163	","	amlodipine 5 MG / atorvastatin 10 MG Oral Tablet [Caduet]",RxNorm
Atorvastatin,83367,"	42972638","	atorvastatin 10 MG / irbesartan 150 MG Oral Tablet [ROVELITO]",RxNorm Extension
Atorvastatin,83367,"43271238	",atorvastatin 20 MG / ezetimibe 10 MG Oral Tablet [Atozet],"	RxNorm Extension"
Atorvastatin,83367,"	43527029","	atorvastatin 10 MG / ezetimibe 10 MG Oral Tablet",RxNorm
Atorvastatin,83367,"	19128165",amlodipine 5 MG / atorvastatin 20 MG Oral Tablet [Caduet],"	RxNorm"
Atorvastatin,83367,"	43527032	","	atorvastatin 20 MG / ezetimibe 10 MG Oral Tablet",RxNorm
Atorvastatin,83367,"	42972641",atorvastatin 20 MG / irbesartan 150 MG Oral Tablet [ROVELITO],RxNorm Extension
Atorvastatin,83367,"	19128151","	amlodipine 10 MG / atorvastatin 20 MG Oral Tablet [Caduet]",RxNorm
Atorvastatin,83367,42972632,"	atorvastatin 10 MG / irbesartan 300 MG Oral Tablet [ROVELITO]",RxNorm Extension
Atorvastatin,83367,"	42972747",atorvastatin 10 MG Oral Tablet [YUHAN ATORVA],RxNorm Extension
Atorvastatin,83367,19068781,"	atorvastatin 80 MG Oral Tablet [Lipitor]",RxNorm
Atorvastatin,83367,42972555,Amlodipine 5 MG / atorvastatin 20 MG Oral Tablet [TWOMIX],RxNorm Extension
Atorvastatin,83367,"	42972960","	atorvastatin 20 MG Oral Tablet [LIPINON]",RxNorm Extension
Aurothiomalate,42547,,,
Azathioprine,1256,42966091,Azathioprine 50 MG Oral Tablet [AZAFRINE],RxNorm Extension
Azathioprine,1256,"42966092	",Azathioprine 50 MG Oral Tablet [IMMUTHERA],RxNorm Extension
Azathioprine,1256,"19014878	","	azathioprine",RxNorm
Azathioprine,1256,42966100,Azathioprine 25 MG Oral Tablet [AZABIO],RxNorm Extension
Azathioprine,1256,2045980,"	azathioprine 50 MG Oral Tablet by Handok",RxNorm Extension
Azathioprine,1256,42966099,Azathioprine 25 MG Oral Tablet [AZAFRINE],RxNorm Extension
Azithromycin,18631,"	1734132",azithromycin 250 MG Oral Tablet [Zithromax],RxNorm
Azithromycin,18631,1734104,"	azithromycin",RxNorm
Azithromycin,18631,42949579,"	Azithromycin 250 MG Oral Tablet [AZITOPS]",RxNorm Extension
Azithromycin,18631,2050632,"	azithromycin 40 MG Oral Suspension [Zithromax] by Pfizer",RxNorm Extension
Azithromycin,18631,2050638,azithromycin 40 MG Oral Suspension by Daewoong,RxNorm Extension
Azithromycin,18631,35603391,azithromycin 500 MG Injection [Zithromax],RxNorm
Azithromycin,18631,2050609,"	azithromycin 500 MG Injection [AZITOPS] by Ildong",RxNorm Extension
Azithromycin,18631,"	21029222",15 ML Azithromycin 40 MG/ML Oral Suspension [Zithromax],RxNorm Extension
